user_id,recent_tags,bite_id,bite_tags,label
U001,"physics,class10,induction",B001,"physics,class10,induction",1
U001,"physics,class10,induction",B002,"maths,class10,algebra",0
U001,"physics,class10,induction",B003,"physics,class9,current",0
U002,"biology,class10,photosynthesis",B004,"biology,class10,photosynthesis",1
U002,"biology,class10,photosynthesis",B005,"physics,class10,light",0
U003,"chemistry,class9,acid",B006,"chemistry,class9,acid",1
U003,"chemistry,class9,acid",B007,"chemistry,class10,base",0
U004,"maths,class10,geometry",B008,"maths,class10,trigonometry",1
U004,"maths,class10,geometry",B009,"biology,class9,plants",0
U005,"physics,class9,current",B010,"physics,class9,electricity",1
U005,"physics,class9,current",B011,"maths,class10,algebra",0
U006,"chemistry,class10,acid",B012,"chemistry,class10,base",1
U006,"chemistry,class10,acid",B013,"physics,class10,light",0
U007,"biology,class10,circulatory",B014,"biology,class10,heart",1
U007,"biology,class10,circulatory",B015,"maths,class9,geometry",0
U008,"maths,class9,algebra",B016,"maths,class9,algebra",1
U008,"maths,class9,algebra",B017,"physics,class10,induction",0
U009,"physics,class10,light",B018,"physics,class10,reflection",1
U009,"physics,class10,light",B019,"chemistry,class10,salts",0
U010,"biology,class9,plants",B020,"biology,class9,photosynthesis",1
U010,"biology,class9,plants",B021,"maths,class10,geometry",0
U011,"maths,class10,trigonometry",B022,"maths,class10,trigonometry",1
U011,"maths,class10,trigonometry",B023,"biology,class10,photosynthesis",0
U012,"chemistry,class9,acid",B024,"chemistry,class9,acid",1
U012,"chemistry,class9,acid",B025,"physics,class9,current",0
U013,"physics,class10,current",B026,"physics,class10,induction",1
U013,"physics,class10,current",B027,"maths,class10,trigonometry",0
U014,"maths,class9,percentages",B028,"maths,class9,fractions",1
U014,"maths,class9,percentages",B029,"chemistry,class10,acid",0
U015,"biology,class10,nutrition",B030,"biology,class10,nutrition",1
